Video ID,Author,Comment,Likes,Reply Count,Comment Date,Cleaned_Comments
m23iQ3uJrhs,@enesgur1394,emeklerine saglık abi,0,0,2024-10-27T13:56:33Z,"['emeklerine', 'saglık', 'abi']"
m23iQ3uJrhs,@alptekintatlisu8595,Sağolun.,0,0,2024-09-07T14:14:21Z,['sağolun']
m23iQ3uJrhs,@Emir-vt4di,"Hocam sayenizde bir firmanın bilançodaki kalemlerini incelerken, rasyo ve çarpanları okurken ne olduklarını anlayabiliyorum. Elinize emeğinize sağlık.",0,0,2024-08-13T10:46:45Z,"['hocam', 'sayenizde', 'bir', 'firmanın', 'bilançodaki', 'kalemlerini', 'incelerken', 'rasyo', 'çarpanları', 'okurken', 'olduklarını', 'anlayabiliyorum', 'elinize', 'emeğinize', 'sağlık']"
m23iQ3uJrhs,@slayttv446,Babanız geliyor bekleyin,0,0,2024-07-25T15:56:35Z,"['babanız', 'geliyor', 'bekleyin']"
m23iQ3uJrhs,@slayttv446,Bummmm,0,0,2024-07-25T15:56:28Z,['bummmm']
m23iQ3uJrhs,@5Karma-z,a,0,0,2024-06-27T22:03:25Z,['a']
m23iQ3uJrhs,@maxbey-r8v,hocam iyi güzel de bu veriler gösterdiğiniz sitede gözükmüyor,0,0,2024-06-21T18:29:10Z,"['hocam', 'iyi', 'güzel', 'veriler', 'gösterdiğiniz', 'sitede', 'gözükmüyor']"
m23iQ3uJrhs,@KubilayBENG,Emeğinize sağlık...,0,0,2024-04-28T20:01:45Z,"['emeğinize', 'sağlık']"
m23iQ3uJrhs,@kadirklc911,Bu verilere nasıl ulaşabiliriz ücretsiz siteler varmı,0,0,2024-04-19T10:21:01Z,"['verilere', 'ulaşabiliriz', 'ücretsiz', 'siteler', 'varmı']"
m23iQ3uJrhs,@polatetic1101,Teknik analizi güzel anlatmış fakat temel analiz anlatımını beğenmedim,0,1,2024-02-23T17:05:40Z,"['teknik', 'analizi', 'güzel', 'anlatmış', 'fakat', 'temel', 'analiz', 'anlatımını', 'beğenmedim']"
m23iQ3uJrhs,@outflatted,Teşekkürler çok faydalı oldu.,0,0,2024-02-18T07:41:24Z,"['teşekkürler', 'faydalı', 'oldu']"
